model_id	origin	path	fragment_status	status_basis	class_count	construct_profile	blocking_constructs	refusal_reason	rmc_verdict	candidate_capabilities	candidate_polarity
branching	fixture	frontend/fixtures/general/branching.rebeca	accepted	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison	none	none	deadlock	initialization;dispatch;finite-execution;conditional;expression-evaluation	positive
constructor-arguments	fixture	frontend/fixtures/general/constructor-arguments.rebeca	accepted	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	none	none	satisfied	initialization;dispatch	positive
control-flow	fixture	frontend/fixtures/general/control-flow.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;conditional;else-branch;constructor-arguments;arithmetic;comparison	iteration-for	lean-well-formedness:iterationNotSupported	satisfied	initialization;dispatch;conditional;expression-evaluation	negative
expressions	fixture	frontend/fixtures/general/expressions.rebeca	accepted	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments;arithmetic;comparison;boolean-operator	none	none	satisfied	initialization;dispatch;expression-evaluation	positive
fan-in	fixture	frontend/fixtures/general/fan-in.rebeca	accepted	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;self-send;constructor-arguments;arithmetic	none	none	deadlock	initialization;dispatch;priority-selection;finite-execution;expression-evaluation	positive
keep-alive	fixture	frontend/fixtures/general/keep-alive.rebeca	accepted	gate-verdict	1	reactive-class;state-vars;message-server;delayed-send;self-send;constructor-arguments;arithmetic	none	none	no-report	initialization;dispatch;finite-execution;expression-evaluation	positive
local-declaration	fixture	frontend/fixtures/general/local-declaration.rebeca	accepted	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments;arithmetic;local-decl	none	none	satisfied	initialization;dispatch;local-declaration;expression-evaluation	positive
locals	fixture	frontend/fixtures/general/locals.rebeca	accepted	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;local-decl	none	none	deadlock	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	positive
minimal-class	fixture	frontend/fixtures/general/minimal-class.rebeca	accepted	gate-verdict	1	reactive-class;state-vars;constructor-arguments	none	none	satisfied	initialization	positive
priorities	fixture	frontend/fixtures/general/priorities.rebeca	accepted	gate-verdict	1	reactive-class;state-vars;message-server;priority-annotation;self-send;constructor-arguments;arithmetic	none	none	queue-overflow	initialization;dispatch;priority-selection;expression-evaluation	positive
send-sites	fixture	frontend/fixtures/general/send-sites.rebeca	accepted	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;self-send;constructor-arguments;arithmetic	none	none	deadlock	initialization;dispatch;finite-execution;expression-evaluation	positive
two-classes	fixture	frontend/fixtures/general/two-classes.rebeca	accepted	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;self-send;constructor-arguments;arithmetic	none	none	deadlock	initialization;dispatch;priority-selection;expression-evaluation	positive
two-instances	fixture	frontend/fixtures/general/two-instances.rebeca	accepted	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;self-send;constructor-arguments;arithmetic	none	none	deadlock	initialization;dispatch;finite-execution;expression-evaluation	positive
compound-assignment	fixture	frontend/fixtures/general/reject/compound-assignment.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	compound-assignment	the compound assignment operator +=	not-measured	initialization;dispatch	negative
deadline-primitive	fixture	frontend/fixtures/general/reject/deadline-primitive.rebeca	refused-by-fragment	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	deadline	deadline(...) in	not-measured	initialization;dispatch	negative
increment-operator	fixture	frontend/fixtures/general/reject/increment-operator.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments;arithmetic	increment-operator	the increment or decrement operator ++	not-measured	initialization;dispatch;expression-evaluation	negative
non-literal-after	fixture	frontend/fixtures/general/reject/non-literal-after.rebeca	refused-by-fragment	gate-verdict	2	reactive-class;known-rebecs;message-server;delayed-send;constructor-arguments	non-literal-delay	a non-literal after delay	not-measured	initialization;dispatch;finite-execution	negative
nondeterministic-choice	fixture	frontend/fixtures/general/reject/nondeterministic-choice.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	nondeterministic-choice	a nondeterministic choice ?(...) in	not-measured	initialization;dispatch	negative
parameter-shadows-state	fixture	frontend/fixtures/general/reject/parameter-shadows-state.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	none	a local name shadowing state variable total	not-measured	initialization;dispatch	negative
read-clock	fixture	frontend/fixtures/general/reject/read-clock.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	clock-read	a read of the logical clock now in	not-measured	initialization;dispatch	negative
read-message-arrival	fixture	frontend/fixtures/general/reject/read-message-arrival.rebeca	refused-by-fragment	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	none	a read of undeclared name currentMessageArrival	not-measured	initialization;dispatch	negative
